dataset,feature,accuracy,precision,recall,f1,mutual_information
phiusiil,URLSimilarityIndex,0.9967374960991802,1.0,0.992344051661008,0.9961573161359308,0.662215786810744
phiusiil,NoOfExternalRef,0.9611336491815372,0.9394193008433658,0.9714399840223686,0.955161353668914,0.5654485944505745
phiusiil,LineOfCode,0.9609350619875742,0.9653478854024556,0.9421476599427469,0.9536066844109026,0.595168316462994
phiusiil,NoOfSelfRef,0.948707764759284,0.9019774870702768,0.9868850276279876,0.9425228891149542,0.5293939297844878
phiusiil,NoOfImage,0.9421260177593692,0.9423430791249232,0.920511284202117,0.9312992523742172,0.5494509954646463
phiusiil,NoOfJS,0.9319697012681212,0.9302610948258232,0.9084614872511816,0.9192320646682384,0.504826032305074
phiusiil,NoOfCSS,0.9018695565831656,0.9678698607963744,0.7961520537913588,0.8736530664426343,0.4556611168670177
phiusiil,HasSocialNet,0.8826633379670346,0.7863720073664825,0.9949404167498836,0.8784458943161112,0.3911324693936928
phiusiil,HasCopyrightInfo,0.8674288632301626,0.7883736484226953,0.9416816456960256,0.8582349907472014,0.3219704649717501
phiusiil,LargestLineLength,0.8384635025107096,0.9557314570507184,0.6510884761334133,0.7745307674031836,0.4585741629380953
phiusiil,HasDescription,0.8328463218814718,0.7326808380486313,0.956860395446375,0.8298978001039321,0.2806251321292377
phiusiil,NoOfOtherSpecialCharsInURL,0.793838123067321,0.9352267624607096,0.554623527062113,0.6963099168373104,0.2347809746872036
phiusiil,IsHTTPS,0.791568555136316,1.0,0.5108847613341322,0.6762723066754792,0.2348072550255246
phiusiil,DomainTitleMatchScore,0.789866379188062,0.7191205249222977,0.8317688569336262,0.7713536039512271,0.1912685189780731
phiusiil,IsResponsive,0.7814122386450679,0.7770372614359286,0.683043738765728,0.7270150575730735,0.1665703678319596
uci,sslfinal_state,0.8735763097949886,0.90521327014218,0.8432671081677704,0.8731428571428571,0.3447768589996409
uci,url_of_anchor,0.8154897494305239,0.9965870307167236,0.6445916114790287,0.7828418230563002,0.3104458656375795
uci,having_sub_domain,0.6845102505694761,0.6506849315068494,0.8388520971302428,0.7328833172613307,0.0806267546036059
uci,web_traffic,0.6674259681093394,0.6709129511677282,0.6975717439293598,0.683982683982684,0.058522520357888
uci,prefix_suffix,0.6378132118451025,0.5875486381322957,1.0,0.7401960784313726,0.104921861669007
uci,sfh,0.6150341685649203,0.58887171561051,0.8410596026490066,0.6927272727272727,0.0462648656175914
uci,links_in_tags,0.5968109339407744,0.6460176991150443,0.4834437086092715,0.553030303030303,0.0393409056227036
uci,request_url,0.591116173120729,0.6236842105263158,0.5231788079470199,0.5690276110444178,0.032647679112516
uci,domain_registration_length,0.5842824601366743,0.6506849315068494,0.4194260485651214,0.5100671140939598,0.0179794658834226
uci,having_ip_address,0.571753986332574,0.5955334987593052,0.5298013245033113,0.5607476635514018,0.0
uci,links_pointing_to_page,0.5637813211845103,0.5708502024291497,0.6225165562913907,0.5955649419218585,0.0055553214272923
uci,google_index,0.5318906605922551,0.63125,0.2229580573951435,0.3295269168026101,0.0
uci,age_of_domain,0.5296127562642369,0.5444444444444444,0.5408388520971302,0.5426356589147286,0.0090995515578689
uci,abnormal_url,0.5296127562642369,0.5268817204301075,0.8653421633554084,0.6549707602339181,0.0129948777383075
uci,statistical_report,0.5250569476082004,0.6363636363636364,0.1854304635761589,0.2871794871794871,0.0
mendeley_hannousse,google_index,0.8548104956268222,,,0.8611266034578918,0.2994122171059308
mendeley_hannousse,web_traffic,0.7877551020408163,,,0.7863849765258216,0.2984626354884387
mendeley_hannousse,nb_hyperlinks,0.7772594752186589,,,0.7983104540654699,0.2336224271865306
mendeley_hannousse,page_rank,0.7714285714285715,,,0.7615571776155717,0.2211787638339284
mendeley_hannousse,ratio_intHyperlinks,0.7288629737609329,,,0.6978557504873294,0.2444913886895223
mendeley_hannousse,nb_www,0.7276967930029155,,,0.7426997245179063,0.1107767520171292
mendeley_hannousse,ratio_extHyperlinks,0.7247813411078717,,,0.7114914425427873,0.2402741493444735
mendeley_hannousse,safe_anchor,0.7201166180758017,,,0.7306397306397306,0.1792403962425659
mendeley_hannousse,longest_word_path,0.6973760932944606,,,0.6670942912123156,0.1199855314109274
mendeley_hannousse,links_in_tags,0.6903790087463557,,,0.7093596059113301,0.1209079961488006
mendeley_hannousse,ratio_extRedirection,0.6892128279883382,,,0.7003934794828556,0.1208953249578295
mendeley_hannousse,domain_age,0.6880466472303207,,,0.6555054732775274,0.279647785006152
