config,dataset,model,seed,dedup,n_features,fit_seconds,n_train,n_test,accuracy,precision,recall,f1,mcc,roc_auc
uci_full,uci,rf,42,False,30,0.56,7737,1659,0.9746835443037974,0.9753086419753086,0.9673469387755103,0.9713114754098361,0.9486839522683853,0.9960751833200814
uci_full,uci,xgb,42,False,30,0.36,7737,1659,0.974080771549126,0.9726775956284153,0.9687074829931973,0.9706884798909339,0.9474643337309142,0.9965066113025296
uci_full,uci,lgbm,42,False,30,0.27,7737,1659,0.974080771549126,0.9765840220385675,0.964625850340136,0.9705681040383299,0.9474714367456405,0.9965964307801043
uci_full,uci,ensemble,42,False,30,2.63,7737,1659,0.976491862567812,0.9754098360655737,0.9714285714285714,0.9734151329243353,0.9523519974611442,0.9974519244927409
uci_full,uci,rf,43,False,30,0.55,7737,1659,0.9680530440024111,0.9762569832402235,0.9510204081632653,0.9634734665747761,0.9353475622540075,0.9956371293105987
uci_full,uci,xgb,43,False,30,0.37,7737,1659,0.9674502712477396,0.9748953974895398,0.9510204081632653,0.9628099173553719,0.9341058288715575,0.9960126041758695
uci_full,uci,lgbm,43,False,30,0.29,7737,1659,0.9680530440024111,0.9749303621169917,0.9523809523809523,0.9635237439779766,0.9353150356988391,0.9962938422122096
uci_full,uci,ensemble,43,False,30,2.21,7737,1659,0.9686558167570826,0.9776223776223776,0.9510204081632653,0.9641379310344828,0.9365911251656964,0.9965618281944812
uci_full,uci,rf,44,False,30,0.62,7737,1659,0.9734779987944545,0.980528511821975,0.9591836734693877,0.9697386519944979,0.9463201157133609,0.9951063109226373
uci_full,uci,xgb,44,False,30,0.35,7737,1659,0.9704641350210971,0.9698630136986301,0.963265306122449,0.9665529010238908,0.9401274033585553,0.9972649232853315
uci_full,uci,lgbm,44,False,30,0.27,7737,1659,0.9752863170584689,0.9766483516483516,0.9673469387755103,0.9719753930280246,0.9499086591613023,0.9973459080601937
uci_full,uci,ensemble,44,False,30,2.17,7737,1659,0.9746835443037974,0.9779310344827586,0.964625850340136,0.9712328767123287,0.9487007830261801,0.9974386724386725
uci_full,uci,rf,45,False,30,0.61,7737,1659,0.9680530440024111,0.9684065934065934,0.9591836734693877,0.963773069036227,0.9352370600722979,0.9940630797773653
uci_full,uci,xgb,45,False,30,0.38,7737,1659,0.9722724532851115,0.9699863574351978,0.9673469387755103,0.9686648501362398,0.9438028855716835,0.996693612509939
uci_full,uci,lgbm,45,False,30,0.27,7737,1659,0.9704641350210971,0.9660326086956522,0.9673469387755103,0.9666893269884432,0.9401605427807898,0.9969144800777454
uci_full,uci,ensemble,45,False,30,2.19,7737,1659,0.97166968053044,0.9699453551912568,0.9659863945578231,0.9679618268575324,0.9425766700006841,0.9965051388520775
uci_full,uci,rf,46,False,30,0.64,7737,1659,0.9686558167570826,0.9736477115117892,0.9551020408163265,0.9642857142857143,0.9365008139625645,0.9956783579232559
uci_full,uci,xgb,46,False,30,0.36,7737,1659,0.974080771549126,0.9792243767313019,0.9619047619047619,0.970487302676733,0.9475046065314918,0.9956437553376329
uci_full,uci,lgbm,46,False,30,0.29,7737,1659,0.969258589511754,0.975,0.9551020408163265,0.9649484536082474,0.9377364852555479,0.9961885620048885
uci_full,uci,ensemble,46,False,30,2.17,7737,1659,0.9734779987944545,0.980528511821975,0.9591836734693877,0.9697386519944979,0.9463201157133609,0.9962989957887917
uci_dedup,uci,rf,42,True,30,0.11,4093,878,0.9476082004555809,0.9552572706935123,0.9426048565121413,0.9488888888888889,0.8952391862766498,0.9879548110634983
uci_dedup,uci,xgb,42,True,30,0.17,4093,878,0.958997722095672,0.9685393258426966,0.9514348785871964,0.9599109131403119,0.9181122777384106,0.9935800545383717
uci_dedup,uci,lgbm,42,True,30,0.25,4093,878,0.9498861047835991,0.9595505617977528,0.9426048565121413,0.9510022271714922,0.899878066254031,0.9922451629658486
uci_dedup,uci,ensemble,42,True,30,1.56,4093,878,0.9555808656036446,0.96,0.9536423841059603,0.9568106312292359,0.9111119939076673,0.9916062848980651
uci_dedup,uci,rf,43,True,30,0.12,4093,878,0.9464692482915718,0.9551569506726457,0.9403973509933775,0.9477196885428254,0.8929976740419737,0.9901493312556812
uci_dedup,uci,xgb,43,True,30,0.15,4093,878,0.9510250569476082,0.9596412556053812,0.9448123620309051,0.9521690767519466,0.9021150873544785,0.9911466043370991
uci_dedup,uci,lgbm,43,True,30,0.27,4093,878,0.9464692482915718,0.9511111111111111,0.9448123620309051,0.9479512735326688,0.8928737592223298,0.9910479158550838
uci_dedup,uci,ensemble,43,True,30,1.41,4093,878,0.9521640091116174,0.9576837416481069,0.9492273730684326,0.9534368070953437,0.9042960612839395,0.9920451889365018
uci_dedup,uci,rf,44,True,30,0.12,4093,878,0.9453302961275627,0.9612756264236902,0.9315673289183223,0.9461883408071748,0.8911138452575591,0.9908791066095313
uci_dedup,uci,xgb,44,True,30,0.15,4093,878,0.9464692482915718,0.9572072072072072,0.9381898454746137,0.947603121516165,0.8930874326576946,0.9929983119075445
uci_dedup,uci,lgbm,44,True,30,0.25,4093,878,0.9521640091116174,0.9617977528089887,0.9448123620309051,0.9532293986636972,0.9044366191251259,0.9937774315024023
uci_dedup,uci,ensemble,44,True,30,0.54,4093,878,0.9521640091116174,0.9617977528089887,0.9448123620309051,0.9532293986636972,0.9044366191251259,0.9933826775743411
uci_dedup,uci,rf,45,True,30,0.13,4093,878,0.9498861047835991,0.9534368070953437,0.9492273730684326,0.9513274336283186,0.8996941152178085,0.9886586157641865
uci_dedup,uci,xgb,45,True,30,0.13,4093,878,0.9544419134396356,0.9518599562363238,0.9602649006622517,0.9560439560439561,0.9088023530516435,0.9902194520192182
uci_dedup,uci,lgbm,45,True,30,0.26,4093,878,0.9544419134396356,0.9498910675381264,0.9624724061810155,0.956140350877193,0.9088363894630976,0.9895857680820673
